Name,Grade,Masks Required?,Type of Requirement,Law Date,Notes,Link 1
Georgia,2,Parts of State (Employees Only),null,null,Partially: Workers Only,https://patch.com/georgia/atlanta/ga-coronavirus-4-ways-make-face-masks
Iowa,2,Parts of State (Employees Only),null,null,Partially: Workers Only,https://www.thegazette.com/subject/news/health/coronavirus-in-iowa-live-updates-for-april-27-20200427
Oregon,2,Parts of State (Employees Only),null,null,Partially: Workers Only,https://www.wweek.com/news/state/2020/05/07/gov-kate-brown-will-require-face-masks-at-many-oregon-businesses/
Montana,1,No,null,null,No,null
South Carolina,2,Parts of State,null,null,No,null
South Dakota,1,No,null,null,No,null
Wisconsin,1,No,null,null,No,null
District of Columbia,3,Entire Territory,Only in businesses,4/3/2020,Mandatory,https://www.newsweek.com/washington-dc-mayor-orders-residents-continue-wearing-masks-public-until-mid-may-1498092
Puerto Rico,3,Entire Territory,Everywhere in public,4/10/2020 (est.),Mandatory,https://www.nytimes.com/2020/04/15/nyregion/coronavirus-face-masks-andrew-cuomo.html
Utah,2,"Masks strongly recommended, provides masks for free","Strongly encourages, provides masks for free",null,Partially,https://www.fox13now.com/news/coronavirus/local-coronavirus-news/tricounty-health-department-calls-for-face-masks-to-be-worn-in-public-in-the-uinta-basin
